keyword,title,description,pub_date,link,original_link
강아지아토피,"불스원 팅커벨, 반려동물 전용 고체 탈취제 출시","고양이가 선호하는 캣닢 추출 성분과 강아지·고양이의 심리적 안정을 위한 녹차 씨앗 추출 성분도 더했다. 제품은 무색소, 알러지 프리, 초미향 설계로 자극을 줄였다. 비건 인증, 아토피 피부 저자극 인증, 반려동물 협회...",2026-06-02 10:38:00+09:00,http://www.hansbiz.co.kr/news/articleView.html?idxno=842038,http://www.hansbiz.co.kr/news/articleView.html?idxno=842038
강아지아토피,"불스원 팅커벨, 반려동물 가구용 고체 탈취제 선봬","무색소, 알러지 프리, 초미향 설계를 바탕으로 자극적인 요소를 줄였고, 비건 인증과 아토피 피부 저자극... 고양이가 좋아하는 캣닢 추출 성분과 강아지·고양이의 심리적 안정을 고려한 녹차 씨앗 추출 성분도 더했다....",2026-06-02 09:46:00+09:00,https://www.ziksir.com/news/articleView.html?idxno=135579,https://www.ziksir.com/news/articleView.html?idxno=135579
강아지아토피,"HK이노엔, 국내 유일 JAK-1 억제제 반려동물 아토피 신약 3상 성공",HK이노엔은 반려동물(반려견) 아토피 피부염 치료 신약 IN-115314 경구제의 임상 3상을 성공적으로... 피부병변 개선효과는 수의학적으로 '강아지의 피부 상처와 염증이 얼마나 넓고 심하게 퍼져있는지'를 측정하는...,2026-06-01 16:50:00+09:00,https://www.cnbnews.com/news/articleView.html?idxno=1003348,https://www.cnbnews.com/news/articleView.html?idxno=1003348
강아지아토피,"""반려동물 만성피부질환, 통합관리 필요""…최신 치료 트렌드는",이날 주요 강의로는 강민희 장안대학교 교수가 '개(강아지) 아토피 피부염에서 JAK 억제제 기반 치료 전략'을 주제로 특강에 나섰다. 강 교수는 조에티스 아포퀠과 엘랑코 젠렐리아 활용법에 대해 설명했다. 강 교수는...,2026-05-17 18:25:00+09:00,https://n.news.naver.com/mnews/article/421/0008949824?sid=101,https://www.news1.kr/industry/general-industry/6169215
강아지아토피,[2026 너는 솔로 나는 반려] “피부 건강도 추억도 내 손으로”…‘펫비...,사진=주다솔 기자 “새로 입양할 강아지가 이 비누를 쓰고 늘 건강하고 행복하게 자랐으면 좋겠어요.”... 박 대표는 “첫째 반려견인 은동이가 아토피 피부염 때문에 밤잠을 설치며 가려워하는 모습을 지켜보며 시작하게...,2026-05-17 16:20:00+09:00,http://www.segyebiz.com/newsView/20260517508090?OutUrl=naver,http://www.segyebiz.com/newsView/20260517508090?OutUrl=naver
강아지아토피,"[알아BIO] ""댕냥이도 100세 시대?""…제약사, 펫시장 정조준","HK이노엔은 반려견 아토피 치료를 위한 신약을 개발 중인데, 경구용 치료제 임상 3상 단계에 진입했습니다.... ‘뚱냥이(비만 고양이)’와 ‘뚱멍이(비만 강아지)’는 한없이 귀엽지만, 귀여움이 지나칠수록 주인 곁에...",2026-05-16 06:00:00+09:00,https://n.news.naver.com/mnews/article/422/0000865356?sid=105,http://www.yonhapnewstv.co.kr/news/AKR20260514174619ywa
강아지아토피,충남수의사회에서도..‘반려 인구 감소 대책·컨퍼런스 통합’ 관심,높은 아토피성 피부염과 승모판 폐쇄부전(MMVD)을 주제로 강연에 나섰다.충청남도수의사회가 5월 10일(일)... 이날 연수교육에 참석한 한 동물병원장은 “강아지를 보기 힘들어진 지도 이미 오래됐다”고 말했다. 더욱이...,2026-05-12 07:52:00+09:00,https://www.dailyvet.co.kr/news/association/283169,https://www.dailyvet.co.kr/news/association/283169
강아지아토피,"[반려동물 건강이야기] 만성적인 구토와 설사, 분변이식으로 다스려요!","대표적인 증상으로는 설사와 구토가 있으며 강아지는 설사, 고양이는 구토가 주 증세로 보일 수 있다. 이... 또 FMT는 단백소실성장병증, 만성 설사, 아토피, 췌장염, 종양 등 다양한 질환에 적용이 가능하다. 스테로이드를...",2026-04-28 09:16:00+09:00,http://www.k-health.com/news/articleView.html?idxno=91889,http://www.k-health.com/news/articleView.html?idxno=91889
강아지아토피,"[마이펫페어] 펫 스킨케어 브랜드 버블부들, 강아지 고보습 아로마 샴푸...","참가해 강아지 고보습 아로마 샴푸를 선보인다고 밝혔다. 버블부들은 2017년부터 365일 안심하고 사용할 수... 노견, 아토피, 알로페시아 등 건조피부에 좋은 약산성 샴푸이다. 스킨365 관계자는 “미용사와 보호자 모두...",2026-04-13 14:20:00+09:00,https://n.news.naver.com/mnews/article/030/0003417216?sid=103,https://www.etnews.com/20260413000262
강아지아토피,"[반려동물 건강이야기] 긁고 핥고 비비고...고양이 아토피, 어떻게 관리...",하지만 고양이의 경우 강아지 아토피와 다른 양상으로 나타나 진단과 관리가 까다롭다. 특히 가려움증이 주된 증상이지만 전형적인 발적이나 습진형태가 뚜렷하지 않아 놓치기 쉽다. 따라서 초기 신호를 잘 인지하고...,2026-04-12 09:38:00+09:00,http://www.k-health.com/news/articleView.html?idxno=91503,http://www.k-health.com/news/articleView.html?idxno=91503
강아지아토피,"한국수의임상피부학회 콘퍼런스, 5월 17일 개최…초록도 접수",주요 강의로는 강민희 장안대학교 교수가 '개(강아지) 아토피 피부염에서 JAK 억제제 기반 치료 전략'을 주제로 특강에 나서 조에티스 아포퀠과 엘랑코 젠렐리아 활용법에 대해 설명할 예정이다. 채민주...,2026-03-30 19:25:00+09:00,https://n.news.naver.com/mnews/article/421/0008858540?sid=101,https://www.news1.kr/industry/general-industry/6119179
강아지아토피,"""반려동물에 건사료만? 여러 음식 먹이면 질병 발병률 낮아져""","수의계에 따르면 강아지, 고양이도 노화가 되면 DNA가 손상되고 각종 질병에 노출된다. 염색체 말단에서... 그는 4000마리 이상의 개를 대상으로 식이 방법을 달리해 알레르기, 아토피 피부염의 상관관계를 공개한 해외...",2026-03-25 19:26:00+09:00,https://n.news.naver.com/mnews/article/421/0008849180?sid=101,https://www.news1.kr/industry/general-industry/6114104
강아지아토피,'명의' 신유섭 교수의 알레르기 비염 치료법,"원인 물질은 엄마의 경우 강아지, 딸은 고양이로 밝혀졌다. 알레르기 비염은 단순히 코에만 국한된 질환이 아니다. 아토피 피부염부터 천식에 이르기까지 평생 다양한 질환을 차례로 겪을 수 있다. 오랫동안 함께해 온...",2026-03-20 21:56:00+09:00,https://www.bntnews.co.kr/article/view/bnt202603200208,https://www.bntnews.co.kr/article/view/bnt202603200208
강아지아토피,[명의] 알레르기 질환의 근본을 잡는 비염 최신 치료법,"""꽃이 피는 봄은 저에게 지옥이에요"" ""콧물이 생수병 500ml를 채울 정도로 흘러요"" ""강아지랑 있다 보니 숨이... 알레르기 비염 환자는 아토피 피부염부터 천식까지, 평생동안 다양한 알레르기 질환을 차례로 겪게 될 수...",2026-03-20 17:30:00+09:00,http://www.queen.co.kr/news/articleView.html?idxno=453335,http://www.queen.co.kr/news/articleView.html?idxno=453335
강아지아토피,다른 질병들과 '한 몸' 되는 알레르기 비염⋯극복하려면 어떻게 해야 하...,"알레르기 비염 환자는 아토피 피부염부터 천식까지, 평생동안 다양한 알레르기 질환을 차례로 겪게 될 수... 강아지와 고양이 두 마리를 함께 키우는 53세 여성. 재채기와 콧물을 달고 살던 그녀는 두 달 전부터 숨을...",2026-03-19 17:10:00+09:00,https://n.news.naver.com/mnews/article/031/0001014987?sid=103,http://www.inews24.com/view/1951034
강아지아토피,"[EBS 명의] 알레르기 비염, 아토피 피부염, 천식… 신유섭 교수, 알레르...","알레르기 비염 환자는 아토피 피부염부터 천식까지, 평생동안 다양한 알레르기 질환을 차례로 겪게 될 수... 강아지와 고양이 두 마리를 함께 키우는 53세 여성. 재채기와 콧물을 달고 살던 그녀는 두 달 전부터 숨을...",2026-03-19 16:40:00+09:00,https://www.lecturernews.com/news/articleView.html?idxno=198964,https://www.lecturernews.com/news/articleView.html?idxno=198964
강아지아토피,사료만으로 충분할까…반려동물 영양 '건강 유지vs증진' 구분 필요,"4000마리 이상의 개(강아지)를 분석한 연구에서는 다양한 음식을 경험한 개일수록 만성 장 질환과 식이 알레르기, 아토피 피부염 발생 위험이 낮았다. 반면 상업용 건사료만 급여한 경우 관련 질환 발생률이 더 높은 것으로...",2026-03-18 15:19:00+09:00,https://n.news.naver.com/mnews/article/421/0008833877?sid=101,https://www.news1.kr/industry/general-industry/6105677
강아지아토피,"펫 시장으로 향하는 제약사들, 연구개발 전략 바뀐다",어린 강아지부터 노령견까지 부담없이 섭취가 가능하다. 이와 함께 기능성 원료 함량을 100% 공개했다. 단순 제품 출시를 넘어 신약 개발 영역으로 확장하는 움직임도 나타나고 있다. 대웅제약은 반려동물 아토피 치료...,2026-02-24 13:00:00+09:00,http://www.mkhealth.co.kr/news/articleView.html?idxno=77689,http://www.mkhealth.co.kr/news/articleView.html?idxno=77689
강아지아토피,"""송도서 완성하는 임상의 기술""…제22회 카하 컨퍼런스 21일 개최","22일에는 최미현 본동물의료센터 원장의 '개(강아지), 고양이 간질환', 강정훈 오리진동물피부과병원 원장의 '아토피 치료', 이가현 해마루동물병원 영상의학센터 부장의 '위장관 폐색' 등 강의가 진행된다. 손원균...",2026-02-18 08:00:00+09:00,https://n.news.naver.com/mnews/article/421/0008778692?sid=101,https://www.news1.kr/industry/general-industry/6075172
강아지아토피,"제약사, 펫 헬스케어 전방위 확장…생활용품부터 신약까지","샴푸·덴탈껌·구강보조제·영양제 등 일상 관리 제품군을 확대하는 동시에, 아토피·당뇨 등 전문의약품... 1cm 미만의 펠릿 제형, 가수분해 연어 단백질 적용, 기능성 원료 함량 100% 공개 등을 내세워 어린 강아지부터...",2026-02-15 12:22:00+09:00,https://www.newsway.co.kr/news/view?ud=2026021115360187125,https://www.newsway.co.kr/news/view?ud=2026021115360187125
강아지아토피,"제약바이오 기업들, 20조원 반려동물 시장에 잇딴 제품 출시 경쟁",반려견용 아토피 피부염 치료제 '플로디시티닙'의 품목허가를 신청했다. 염증 신호 전달을 차단하는 JAK... 어린 강아지부터 노령견까지 쉽게 섭취할 수 있도록 설계했다. 조아제약은 반려견 전용 의약품 및 영양제...,2026-02-15 06:00:00+09:00,https://www.getnews.co.kr/news/articleView.html?idxno=861473,https://www.getnews.co.kr/news/articleView.html?idxno=861473
강아지아토피,"유유제약, '블루오션' 고양이 치료제 시장 개척","강아지보다 큰 고양이 시장, 무주공산 유원상 대표는 간담회에서 고양이 바이오의약품 시장을 리더가... 이어 ""현재 250억원 규모인 고양이 아토피 시장도 우리가 혁신 치료제를 내놓는다면 5000억원 규모까지 성장할 것...",2026-02-11 16:12:00+09:00,https://www.monews.co.kr/news/articleView.html?idxno=409643,https://www.monews.co.kr/news/articleView.html?idxno=409643
강아지아토피,"제약사, 반려동물 헬스케어 시장 공략 가속···치료제 개발 경쟁","1㎝ 미만 크기의 펠릿 제형으로 개발돼 어린 강아지부터 노령견까지 모두 섭취가 가능하다. 댕댕포스... 대웅제약은 지난해 12월, 농림축산검역본부에 반려견용 아토피피부염 치료제 '플로디시티닙'의 품목허가를...",2026-02-11 15:56:00+09:00,http://www.wsobi.com/news/articleView.html?idxno=304414,http://www.wsobi.com/news/articleView.html?idxno=304414
강아지아토피,유유제약 유원상 대표가 말하는 '고양이 약' 진출 이유,"그런데도 강아지의 1년 평균 진료비는 1500달러, 고양이는 최대 900달러 선에 불과하다. 2023년 조에티스가... 2  어떤 약을 개발할 것인가 ""목표는 아토피 치료 바이오의약품"" 유유바이오가 집중하는 첫 파이프라인은 고양이...",2026-02-11 14:16:00+09:00,https://www.hitnews.co.kr/news/articleView.html?idxno=73822,https://www.hitnews.co.kr/news/articleView.html?idxno=73822
강아지아토피,"""고양이 헬스케어 퍼스트무버 도약""…유유제약 오너 3세의 포부","미국 반려동물 의약품 시장은 강아지 중심으로 형성돼 있다. 관절염, 피부질환 등 주요 질환 치료제... 유유제약은 첫 타깃으로 고양이 아토피성 피부염을 선정했다. 아직 승인된 치료 옵션이 제한적이고 미충족 수요가...",2026-02-11 13:46:00+09:00,https://new.dailypharm.com/user/news/335675?REFERER=NP,https://new.dailypharm.com/user/news/335675?REFERER=NP
강아지아토피,"유유제약 ""역방향 혁신으로 헬스케어 생태계 재설계""","현재 고양이 아토피 피부염 치료제 시장 규모는 250억원으로, 골관절염처럼 바이오의약품 개발에 성공해 시장이 20배 성장한다면 5000억 규모가 될 것이란 설명이다. 유 대표는 ""우선은 고양이 시장에 집중하지만 강아지...",2026-02-11 12:02:00+09:00,http://www.newsmp.com/news/articleView.html?idxno=251595,http://www.newsmp.com/news/articleView.html?idxno=251595
강아지아토피,"[제약바이오 브리핑] 삼진제약, 면역·염증 신약 후보 임상 1상 IND 신청...","SJN314는 만성자발성두드러기를 비롯, 아토피 피부염 등 다양한 염증성 질환을 주요 적응증으로 하는 경구용... 또한 1cm 미만 크기의 부드러운 펠릿 제형으로 개발해 어린 강아지부터 노령견까지 부담없이 섭취가...",2026-02-04 17:56:00+09:00,https://n.news.naver.com/mnews/article/117/0004032576?sid=102,https://www.mydaily.co.kr/page/view/2026020417314841475
강아지아토피,"[제약소식] 보령컨슈머헬스케어, 반려견 영양제 브랜드 '댕댕포스' 출시...",어린 강아지부터 노령견까지 부담 없이 섭취할 수 있도록 했다. 기능성 원료와 함량을 투명하게 공개해... SJN314는 만성자발성두드러기와 아토피 피부염 등 다양한 염증성 질환을 적응증으로 하는 경구용 저분자 MRGPRX2...,2026-02-04 11:20:00+09:00,http://www.mkhealth.co.kr/news/articleView.html?idxno=77471,http://www.mkhealth.co.kr/news/articleView.html?idxno=77471
강아지아토피,[제약업계 소식] 2월 4일,"또한 1cm 미만 크기의 부드러운 펠릿 제형으로 개발해 어린 강아지부터 노령견까지 부담없이 섭취가... 'SJN314'는 만성자발성두드러기(Chronic Spontaneous Urticaria)를 비롯, 아토피 피부염(Atopic Dermatitis) 등 다양한 염증성...",2026-02-04 09:44:00+09:00,http://www.doctorstimes.com/news/articleView.html?idxno=236668,http://www.doctorstimes.com/news/articleView.html?idxno=236668
강아지아토피,"한국수의임상피부학회, 인증 전문의 내실화·국제 교류 확대한다","'개(강아지)와 고양이의 아토피 및 감염성 피부질환'을 주제로 대전시수의사회 연합 학술대회 개최, 제7회 아시아수의임상피부학회(ASVCD) 컨퍼런스 등도 진행했다. 특히 아시아 수의임상피부학회가 인증한 전문의...",2026-01-31 21:40:00+09:00,https://n.news.naver.com/mnews/article/421/0008746165?sid=102,https://www.news1.kr/local/gyeonggi/6057719
강아지아토피,“내가 먹는 약 우리 강아지도”⋯ 人獣공통 시장 노리는 K-제약,제약사별로는 대웅제약이 최근 농림축산검역본부에 반려견용 아토피 피부염 치료제 ‘플로디시티닙(JAK... JAK 억제제는 아토피의 원인이 되는 염증 신호 전달을 차단해 가려움과 피부 염증을 완화한다....,2026-01-26 06:38:00+09:00,https://www.viva100.com/article/20260125500342,https://www.viva100.com/article/20260125500342
강아지아토피,"[비건 Q&A]⑧임신·아이·반려동물까지, 비건 가족 실천 100문답","비건 아기 피부 관리(아토피와 채식)? A. 아토피는 식단만으로 설명되기 어렵고, 피부 장벽 관리와 환경... 강아지에게 비건 사료를 먹여도 괜찮나요? A. 강아지는 잡식에 가까워 이론상 식물성 기반 식단이 가능하다는...",2026-01-24 12:54:00+09:00,https://www.vegannews.co.kr/news/article.html?no=381326,https://www.vegannews.co.kr/news/article.html?no=381326
강아지아토피,"겨울철 반려동물 피부 건강, 꼭 관리해야 하는 이유! [김운선 수의사 반...","강아지와 고양이 모두 이 시기에 피부 건조, 각질, 비듬이 눈에 띄게 늘어난다. 보호자 입장에서는 “요즘... 겨울철에 흔히 악화되는 피부 질환으로는 아토피 피부염, 지루성 피부염, 말라세지아 피부염, 세균성 피부염이...",2026-01-19 10:26:00+09:00,https://www.hinews.co.kr/view.php?ud=2026011910241693306aa9cc43d0_48,https://www.hinews.co.kr/view.php?ud=2026011910241693306aa9cc43d0_48
