id,diet_type,b1_approach,b2_wag,b3_jump,b4_lick_lips,b5_salivate,b6_bark,b7_eat_fast,b8_sniff,b9_stay_bowl,b10_guard,health_opinion,vet_visits,medication,disease_allergy,disease_behaviour,disease_weight,disease_dental,disease_gi,disease_skin,species,age,sex_neuter,breed_size,activity,diet
587958-587949-58298356,Meat-based – conventional,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,Healthy,3,Yes,0.0,0.0,0.0,0.0,1.0,0.0,Dog,7,"Male, sexually intact",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58298464,Vegan (consuming no animal products),5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,15,"Male, castrated",Small (4.5–10.9 kg or 10–24 lb),1 – 3 hrs,Vegan
587958-587949-58299229,Meat-based – conventional,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,10,"Female, spayed",Large (22.7–40.5 kg or 50–89 lb),1 – 3 hrs,Conventional
587958-587949-58300907,Vegan (consuming no animal products),5.0,5.0,2.0,5.0,3.0,5.0,4.0,3.0,4.0,1.0,Generally healthy with minor or infrequent problems,2,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,10,"Male, castrated",Giant (> 40.9 kg or > 90 lb),1 – 3 hrs,Vegan
587958-587949-58302200,Meat-based – conventional,1.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,2.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,7,"Male, castrated",Large (22.7–40.5 kg or 50–89 lb),30 – 60 mins,Conventional
587958-587949-58303596,Vegan (consuming no animal products),5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,Healthy,0,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,8,"Male, sexually intact",Medium (11.4–22.3 kg or 25–49 lb),> 3 hrs,Vegan
587958-587949-58297858,Meat-based – conventional,2.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,Generally healthy with minor or infrequent problems,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,10,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Conventional
587958-587949-58306491,Vegan (consuming no animal products),5.0,5.0,3.0,3.0,2.0,4.0,5.0,2.0,5.0,3.0,Generally healthy with minor or infrequent problems,>3,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Dog,6,"Male, castrated",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Vegan
587958-587949-58308470,Vegan (consuming no animal products),5.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,2.0,1.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,6,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Vegan
587958-587949-58308430,Meat-based – raw,5.0,1.0,1.0,4.0,5.0,1.0,5.0,2.0,5.0,1.0,Healthy,1,No,0.0,0.0,0.0,0.0,0.0,0.0,Dog,5,"Female, spayed",Medium (11.4–22.3 kg or 25–49 lb),1 – 3 hrs,Raw
